Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000694, 23.959 , 1001.532 , 6.98 , 0 , 842.442 , 4.47 , 0 , 0 , 0 , 0 , 20.901 ,-0.001 , 5.978 , 0 , 0 , 0 ,               0            ,             -2.682103E-02               ,              0 , 8.675089E-02 , 0 , 0 , 0 ,            0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0014583, 23.954 , 1001.252 , 6.981 , 0 , 843.943 , 4.466 , 0 , 0 , 0 , 0 , 20.901 ,-0.001 , 24.767 , 0 , 0 , 0 ,            0            ,             -2.681353E-02               ,              0 , 0.446162 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0028473, 24.059 , 1001.226 , 6.982 , 0 , 845.909 , 4.516 , 0 , 0 , 0 , 0 , 20.901 ,-0.001 , 6.751 , 0 , 0 , 0 ,             0            ,             -2.681283E-02               ,              0 , 0.5441304 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0042362, 24.002 , 1001.54 , 6.985 , 0 , 860.908 , 4.466 , 0 , 0 , 0 , 0 , 20.901 ,-0.001 ,-1.552 , 0 , 0 , 0 ,              0            ,             -2.682124E-02               ,              0 , 0.5216083 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.005625, 23.919 , 1001.629 , 6.984 , 0 , 848.666 , 4.521 , 0 , 0 , 0 , 0 , 20.901 ,-0.001 , 24.876 , 0 , 0 , 0 ,             0            ,             -2.682363E-02               ,              0 , 0.8826011 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0070139, 24.013 , 1001.61 , 6.984 , 0 , 837.048 , 4.472 , 0 , 0 , 0 , 0 , 20.904 ,-0.002 , 11.11 , 0 , 0 , 0 ,              0            ,             -5.364759E-02               ,              0 , 1.043826 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0084028, 24.014 , 1001.612 , 6.985 , 0 , 845.709 , 4.477 , 0 , 0 , 0 , 0 , 20.899 ,-0.002 ,-5.399 , 0 , 0 , 0 ,             4.807751E-02               ,             -5.364431E-02               ,              0 , 0.9654773 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0097917, 23.917 , 1001.218 , 6.984 , 0 , 864.748 , 4.474 , 0 , 0 , 0 , 0 , 20.899 ,-0.002 , 24.977 , 0 , 0 , 0 ,            0.0480586    ,             -5.362321E-02               ,              0 , 1.327936 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0111806, 23.998 , 1001.102 , 6.986 , 0 , 861.23 , 4.519 , 0 , 0 , 0 , 0 , 20.899 ,-0.002 , 18.653 , 0 , 0 , 0 ,             4.805303E-02               ,             -5.361699E-02               ,              0 , 1.598622 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
00.0125695, 24.029 , 1001.716 , 6.989 , 0 , 848.737 , 4.473 , 0 , 0 , 0 , 0 , 20.899 ,-0.002 ,-9.522 , 0 , 0 , 0 ,             0.0480825    ,             -5.364988E-02               ,              0 , 1.460442 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.751
