Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000347, 23.917 , 1001.687 , 6.693 , 0 , 844.745 , 7.214 , 0 , 0 , 0 , 0 , 20.389 , 0.334 , 49.527 , 0.225 , 0 , 0 ,        14.92881     ,              8.939606     ,              0.5988159 , 0.5127763 , 4.870034E-02 , 0 , 0 ,          0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0014352, 24.062 , 1001.634 , 6.696 , 0 , 835.017 , 5.732 , 0 , 0 , 0 , 0 , 20.389 , 0.334 , 3.499 , 0.251 , 0 , 0 ,         14.92802     ,              8.939132     ,              0.5988158 , 0.5490031 , 0.1030283 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0028241, 23.928 , 1002.093 , 6.773 , 0 , 868.841 , 5.053 , 0 , 0 , 0 , 0 , 20.389 , 0.334 , 20.285 , 3.33 , 0 , 0 ,         14.93486     ,              8.943229     ,              0.5988159 , 0.7590232 , 0.8237932 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.004213, 24.034 , 1001.769 , 6.857 , 0 , 838.169 , 4.995 , 0 , 0 , 0 , 0 , 20.389 , 0.334 , 15.436 , 1.291 , 0 , 0 ,         14.93003     ,              8.940337     ,              0.5988159 , 0.9188393 , 1.103225 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0056019, 23.985 , 1001.743 , 6.856 , 0 , 869.273 , 5.053 , 0 , 0 , 0 , 0 , 20.389 , 0.336 , 5.68 , 1.327 , 0 , 0 ,          14.91587     ,              8.993865     ,              0.6029728 , 0.977647 , 1.390449 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0069908, 23.942 , 1001.702 , 6.855 , 0 , 851.72 , 5.055 , 0 , 0 , 0 , 0 , 20.896 , 0 , 40.582 , 1.352 , 0 , 0 ,             0.1356502    ,              0            ,              0 , 1.397812 , 1.683084 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0083796, 24.048 , 1001.669 , 6.853 , 0 , 839.436 , 5.058 , 0 , 0 , 0 , 0 , 20.897 , 0 ,-12.664 , 1.422 , 0 , 0 ,            0.101755     ,              0            ,              0 , 1.266695 , 1.99087 , 0 , 0 ,          0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0097685, 23.913 , 1001.684 , 6.851 , 0 , 858.198 , 5.023 , 0 , 0 , 0 , 0 , 20.897 , 0 , 49.531 , 1.468 , 0 , 0 ,            0.1017566    ,              0            ,              0 , 1.779513 , 2.308613 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0111575, 24.055 , 1001.679 , 6.851 , 0 , 835.421 , 5.053 , 0 , 0 , 0 , 0 , 20.897 , 0 , 8.164 , 1.46 , 0 , 0 ,              0.101756     ,              0            ,              0 , 1.864039 , 2.624624 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
00.0125463, 23.94 , 1001.687 , 6.851 , 0 , 837.935 , 5.009 , 0 , 0 , 0 , 0 , 20.897 , 0 , 16.113 , 1.457 , 0 , 0 ,             0.1017569    ,              0            ,              0 , 2.030864 , 2.939985 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.760
