Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000694, 27.83 , 1000 , 6.966 , 0 , 848.804 , 5.633 , 0 , 0 , 0 , 0 , 20.9 , 0 , 49.948 , 1.029 , 0 , 0 ,     1.291499E-05               ,              0            ,              0.5363503 , 0.2143429 , 0.2090044 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0014583, 27.996 , 1000 , 6.966 , 0 , 841.013 , 5.627 , 0 , 0 , 0 , 0 , 20.9 , 0 , 18.579 , 1.031 , 0 , 0 ,    1.291499E-05               ,              0            ,              0.5363503 , 0.2940713 , 0.418415 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0028472, 27.842 , 1000 , 6.967 , 0 , 843.8 , 5.623 , 0 , 0 , 0 , 0 , 20.9 , 0 , 49.992 , 0.993 , 0 , 0 ,      1.291499E-05               ,              0            ,              0.5363503 , 0.508603 , 0.6201073 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0042361, 27.98 , 1000 , 6.964 , 0 , 852.407 , 5.632 , 0 , 0 , 0 , 0 , 20.9 , 0 , 16.918 , 1.072 , 0 , 0 ,     1.291499E-05               ,              0            ,              0.5363503 , 0.5812035 , 0.8378456 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.005625, 27.841 , 1000 , 6.98 , 0 , 848.948 , 5.604 , 0 , 0 , 0 , 0 , 20.9 , 0 , 23.948 , 2.428 , 0 , 0 ,      1.291499E-05               ,              0            ,              0.5363503 , 0.6839721 , 1.331007 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0070139, 27.958 , 1000 , 7.146 , 0 , 846.357 , 5.563 , 0 , 0 , 0 , 0 , 20.9 , 0 , 26.231 , 1.631 , 0 , 0 ,    1.291499E-05               ,              0            ,              0.5363503 , 0.7965377 , 1.662286 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0102778, 27.986 , 1000 , 7.175 , 0 , 539.112 , 4.762 , 0 , 0 , 0 , 0 , 20.9 , 0 , 1.597 , 0 , 0 , 0 ,         1.291499E-05               ,              0            ,              0.5363503 , 0.8033909 , 1.662286 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0116667, 27.807 , 1000 , 7.174 , 0 , 846.081 , 5.316 , 0 , 0 , 0 , 0 , 20.9 , 0 , 50 , 0 , 0 , 0 ,            1.291499E-05               ,              0            ,              0.5363503 , 1.017957 , 1.662286 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.0130556, 27.981 , 1000 , 7.17 , 0 , 859.536 , 5.361 , 0 , 0 , 0 , 0 , 20.9 , 0 , 18.732 , 0 , 0 , 0 ,         1.291499E-05               ,              0            ,              0.5363503 , 1.098342 , 1.662286 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
00.014456, 27.877 , 1000 , 7.17 , 0 , 854.892 , 5.108 , 0 , 0 , 0 , 0 , 20.9 , 0 , 38.435 , 0 , 0 , 0 ,          1.291499E-05               ,              0            ,              0.5363503 , 1.263279 , 1.662286 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-62.772
