Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000347, 25.881 , 1001.687 , 6.907 , 0 , 849.024 , 4.754 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 , 24.976 , 0 , 0 , 0 ,            0.108843     ,             -2.682382E-02               ,              0 , 0.2918293 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0014236, 25.982 , 1001.687 , 6.909 , 0 , 859.822 , 4.796 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 , 24.547 , 0 , 0 , 0 ,            0.108843     ,             -2.682382E-02               ,              0 , 0.578646 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0028125, 26.038 , 1001.828 , 6.909 , 0 , 854.306 , 4.81 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 , 5.655 , 0 , 0 , 0 ,              0.1088583    ,             -0.0268276    ,              0 , 0.6447213 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0042014, 25.929 , 1002.1 , 6.91 , 0 , 853.891 , 4.754 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 , 10.954 , 0 , 0 , 0 ,               0.1088879    ,             -2.683488E-02               ,              0 , 0.7727121 , 0 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0055903, 25.946 , 1001.687 , 6.909 , 0 , 844.286 , 4.802 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 , 24.823 , 0 , 0 , 0 ,            0.108843     ,             -2.682382E-02               ,              0 , 1.062754 , 0 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0069907, 26.036 , 1001.865 , 6.91 , 0 , 850.14 , 4.799 , 0 , 0 , 0 , 0 , 20.896 , 0.002 , 10.524 , 0 , 0 , 0 ,              0.121498     ,              5.365853E-02               ,              0.4416414 , 1.18572 , 0 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0083796, 25.964 , 1002.183 , 6.916 , 0 , 851.18 , 4.817 , 0 , 0 , 0 , 0 , 20.897 , 0.001 , 4.306 , 0 , 0 , 0 ,              9.471738E-02               ,              2.683778E-02               ,              0.2833459 , 1.236033 , 0 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0097685, 25.889 , 1001.687 , 6.92 , 0 , 866.734 , 4.807 , 0 , 0 , 0 , 0 , 20.897 , 0.001 , 25 , 0 , 0 , 0 ,   0.0946705    ,              0.0268245    ,              0.2833459 , 1.528143 , 0 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0111574, 25.97 , 1001.687 , 6.92 , 0 , 859.775 , 4.823 , 0 , 0 , 0 , 0 , 20.897 , 0.001 , 24.664 , 0 , 0 , 0 ,              0.0946705    ,              0.0268245    ,              0.2833459 , 1.816327 , 0 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
00.0125463, 26.042 , 1001.861 , 6.923 , 0 , 851.162 , 4.809 , 0 , 0 , 0 , 0 , 20.897 , 0.001 , 4.444 , 0 , 0 , 0 ,             9.468695E-02               ,              2.682916E-02               ,              0.2833459 , 1.868252 , 0 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.745
