Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000694, 26.043 , 1002.007 , 6.828 , 0 , 846.414 , 5.216 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 ,-9.794 , 1.43 , 0 , 0 ,          0.1088778    ,             -2.683239E-02               ,              0 ,-0.1222163 , 0.216778 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0014583, 25.912 , 1000.978 , 6.826 , 0 , 846.921 , 5.24 , 0 , 0 , 0 , 0 , 20.897 ,-0.001 , 10.747 , 1.48 , 0 , 0 ,          0.108766     ,             -2.680484E-02               ,              0 , 1.189219E-02 , 0.4411357 , 0 , 0 ,    0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0028472, 25.934 , 1001.703 , 6.827 , 0 , 840.307 , 5.262 , 0 , 0 , 0 , 0 , 20.9 , 0 , 24.841 , 1.463 , 0 , 0 ,              1.293699E-05               ,              0            ,              0 , 0.3218753 , 0.6629163 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0042361, 26.045 , 1001.517 , 6.827 , 0 , 846.037 , 5.269 , 0 , 0 , 0 , 0 , 20.902 , 0 , 9.319 , 1.45 , 0 , 0 ,              1.293699E-05               ,              0            ,              0 , 0.4381643 , 0.8827262 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.005625, 26.001 , 1001.669 , 6.827 , 0 , 849.775 , 5.273 , 0 , 0 , 0 , 0 , 20.902 , 0 ,-1.297 , 1.47 , 0 , 0 ,               1.293699E-05               ,              0            ,              0 , 0.4219794 , 1.105568 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0070139, 25.897 , 1001.687 , 6.827 , 0 , 852.748 , 5.327 , 0 , 0 , 0 , 0 , 20.902 , 0 , 24.993 , 1.461 , 0 , 0 ,            1.293699E-05               ,              0            ,              0 , 0.7338593 , 1.327045 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0084028, 25.978 , 1001.685 , 6.826 , 0 , 848.663 , 5.273 , 0 , 0 , 0 , 0 , 20.902 , 0 , 22.321 , 1.474 , 0 , 0 ,            1.293699E-05               ,              0            ,              0 , 1.012396 , 1.550493 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0097917, 26.03 , 1001.522 , 6.825 , 0 , 849.103 , 5.269 , 0 , 0 , 0 , 0 , 20.902 , 0 ,-8.257 , 1.496 , 0 , 0 ,              1.293699E-05               ,              0            ,              0 , 0.9093596 , 1.777277 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.0111805, 25.908 , 1001.687 , 6.825 , 0 , 850.149 , 5.32 , 0 , 0 , 0 , 0 , 20.902 , 0 , 23.645 , 1.505 , 0 , 0 ,             1.293699E-05               ,              0            ,              0 , 1.204418 , 2.005424 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
00.012581, 25.961 , 1001.706 , 6.827 , 0 , 848.345 , 5.266 , 0 , 0 , 0 , 0 , 20.904 , 0.001 , 24.745 , 1.459 , 0 , 0 ,         1.293699E-05               ,              2.682738E-02               ,              0 , 1.513204 , 2.226598 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.751
