Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000579, 23.971 , 1001.339 , 7.158 , 0 , 836.459 , 4.454 , 0 , 0 , 0 , 0 , 20.897 ,-0.003 , 38.207 , 1.254 , 0 , 0 ,        0.1229721    ,             -8.044147E-02               ,              0 , 0.3710465 , 0.1156171 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0014468, 24.06 , 1001.87 , 7.157 , 0 , 854.519 , 4.433 , 0 , 0 , 0 , 0 , 20.897 ,-0.003 ,-23.14 , 1.292 , 0 , 0 ,           0.1230373    ,             -8.048413E-02               ,              0 , 0.1463228 , 0.2347378 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0028357, 23.929 , 1001.285 , 7.156 , 0 , 858.619 , 4.343 , 0 , 0 , 0 , 0 , 20.897 ,-0.003 , 45.216 , 1.309 , 0 , 0 ,        0.1229655    ,             -8.043713E-02               ,              0 , 0.5854371 , 0.3554259 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0042245, 24.028 , 1001.442 , 7.157 , 0 , 845.636 , 4.334 , 0 , 0 , 0 , 0 , 20.897 ,-0.003 , 13.865 , 1.298 , 0 , 0 ,        0.1229847    ,             -8.044975E-02               ,              0 , 0.7200867 , 0.4750997 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0056134, 23.962 , 1002.125 , 7.155 , 0 , 845.975 , 4.329 , 0 , 0 , 0 , 0 , 20.897 ,-0.003 , 8.029 , 1.347 , 0 , 0 ,         0.1230686    ,             -8.050462E-02               ,              0 , 0.7980602 , 0.5992913 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0070024, 23.957 , 1001.285 , 7.158 , 0 , 851.801 , 4.334 , 0 , 0 , 0 , 0 , 20.897 ,-0.003 , 45.141 , 1.263 , 0 , 0 ,        0.1229655    ,             -8.043713E-02               ,              0 , 1.236446 , 0.7157382 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0084028, 24.073 , 1002.376 , 7.152 , 0 , 845.55 , 4.349 , 0 , 0 , 0 , 0 , 20.9 ,-0.001 ,-24.243 , 1.443 , 0 , 0 ,           7.105547E-03               ,             -2.684329E-02               ,              0 , 1.001011 , 0.8487809 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0097917, 23.951 , 1002.112 , 7.152 , 0 , 857.934 , 4.359 , 0 , 0 , 0 , 0 , 20.9 ,-0.001 , 12.417 , 1.433 , 0 , 0 ,          7.103676E-03               ,             -2.683622E-02               ,              0 , 1.121598 , 0.9809016 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0111806, 23.97 , 1001.319 , 7.152 , 0 , 845.186 , 4.404 , 0 , 0 , 0 , 0 , 20.9 ,-0.001 , 36.451 , 1.429 , 0 , 0 ,           7.098054E-03               ,             -2.681498E-02               ,              0 , 1.475591 , 1.112653 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
00.0125695, 24.071 , 1001.948 , 7.153 , 0 , 839.155 , 4.356 , 0 , 0 , 0 , 0 , 20.9 ,-0.001 ,-24.569 , 1.418 , 0 , 0 ,          7.102513E-03               ,             -2.683183E-02               ,              0 , 1.23699 , 1.243391 , 0 , 0 ,          0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.755
