Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000347, 24.064 , 1001.587 , 7.155 , 0 , 845.502 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 ,-24.643 , 1.338 , 0 , 0 ,            0.2373581    ,              0            ,              0 ,-0.2207851 , 0.1322962 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0014237, 23.929 , 1001.674 , 7.167 , 0 , 849.866 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 , 22.024 , 0.993 , 0 , 0 ,            0.2373788    ,              0            ,              0 ,-2.346451E-02 , 0.2304801 , 0 , 0 ,    0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0028125, 24.031 , 1001.483 , 7.174 , 0 , 852.628 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 , 16.019 , 0.765 , 0 , 0 ,            0.2373335    ,              0            ,              0 , 0.1200552 , 0.3061203 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.004213, 23.962 , 1001.276 , 7.172 , 0 , 843.639 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 , 5.173 , 0.833 , 0 , 0 ,              0.2372845    ,              0            ,              0 , 0.1664019 , 0.3884841 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0056019, 23.911 , 1001.687 , 7.17 , 0 , 842.339 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 , 49.61 , 0.896 , 0 , 0 ,              0.2373818    ,              0            ,              0 , 0.6108748 , 0.4770771 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0069908, 24.042 , 1001.625 , 7.171 , 0 , 847.356 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 , 4.292 , 0.875 , 0 , 0 ,             0.2373672    ,              0            ,              0 , 0.6493284 , 0.5635936 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0083796, 23.921 , 1002.092 , 7.171 , 0 , 845.535 , 4.585 , 0 , 0 , 0 , 0 , 20.893 , 0 , 20.358 , 0.872 , 0 , 0 ,            0.2374778    ,              0            ,              0 , 0.8317227 , 0.6498136 , 0 , 0 ,       0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0097685, 24.005 , 1001.64 , 7.168 , 0 , 858.462 , 4.585 , 0 , 0 , 0 , 0 , 20.896 , 0 , 23.846 , 0.954 , 0 , 0 ,             0.1356419    ,              0            ,              0 , 1.045367 , 0.7441413 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0111575, 24.009 , 1002.011 , 7.168 , 0 , 854.102 , 4.585 , 0 , 0 , 0 , 0 , 20.895 , 0 ,-0.161 , 0.96 , 0 , 0 ,              0.1695936    ,              0            ,              0 , 1.043925 , 0.8390623 , 0 , 0 ,        0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
00.0125463, 23.93 , 1001.687 , 7.167 , 0 , 853.36 , 4.585 , 0 , 0 , 0 , 0 , 20.895 , 0 , 49.047 , 0.987 , 0 , 0 ,              0.1695387    ,              0            ,              0 , 1.483354 , 0.936653 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-61.757
