Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000347, 25.903 , 1001.687 , 6.925 , 0 , 843.761 , 5.109 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 49.577 , 1.497 , 0 , 0 ,        20.03092     ,              13.1642      ,              0.6571941 , 0.2923288 , 0.1180538 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0014236, 26.028 , 1001.521 , 6.927 , 0 , 845.796 , 5.107 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 11.189 , 1.461 , 0 , 0 ,        20.0276      ,              13.16202     ,              0.6571941 , 0.3583043 , 0.2332686 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0028125, 25.863 , 1001.686 , 6.965 , 0 , 842.025 , 5.096 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 49.977 , 2.457 , 0 , 0 ,        20.0309      ,              13.16419     ,              0.6571941 , 0.6529917 , 0.4270282 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0042014, 26.014 , 1001.587 , 7.121 , 0 , 843.601 , 5.052 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 21.79 , 1.57 , 0 , 0 ,          20.02892     ,              13.16289     ,              0.6571941 , 0.7814755 , 0.5508388 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0055903, 25.946 , 1001.663 , 7.12 , 0 , 840.972 , 5.052 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 12.555 , 1.605 , 0 , 0 ,         20.03044     ,              13.16389     ,              0.6571941 , 0.8555056 , 0.6774095 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0069792, 25.93 , 1001.64 , 7.118 , 0 , 845.033 , 5.1 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 46.323 , 1.645 , 0 , 0 ,            20.02998     ,              13.16359     ,              0.6571941 , 1.128647 , 0.8071346 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0083681, 26.004 , 1002.371 , 7.117 , 0 , 843.793 , 5.107 , 0 , 0 , 0 , 0 , 20.205 , 0.492 ,-3.849 , 1.665 , 0 , 0 ,         20.0446      ,              13.17319     ,              0.6571941 , 1.105952 , 0.9384369 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0097569, 25.89 , 1001.687 , 7.114 , 0 , 845.789 , 5.109 , 0 , 0 , 0 , 0 , 20.205 , 0.492 , 49.8 , 1.711 , 0 , 0 ,           20.03092     ,              13.1642      ,              0.6571941 , 1.399596 , 1.073367 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0111458, 26.016 , 1001.629 , 7.113 , 0 , 846.59 , 5.109 , 0 , 0 , 0 , 0 , 20.899 , 0 , 13.775 , 1.737 , 0 , 0 ,             3.390491E-02               ,              0            ,              0 , 1.480819 , 1.210347 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
00.0125347, 25.898 , 1001.665 , 7.11 , 0 , 854.3 , 5.109 , 0 , 0 , 0 , 0 , 20.899 , 0 , 49.957 , 1.797 , 0 , 0 ,               3.390613E-02               ,              0            ,              0 , 1.775389 , 1.352059 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-64.760
