Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0000347, 27.981 , 1001.449 , 6.693 , 0 , 843.249 , 5.118 , 0 , 0 , 0 , 0 , 20.532 , 0.308 , 20.384 , 0.223 , 0 , 0 ,        10.2867      ,              8.25393      ,              0.8023887 , 0.1292511 , 3.760736E-02 , 0 , 0 ,          0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0014237, 27.822 , 1001.301 , 6.689 , 0 , 852.209 , 5.116 , 0 , 0 , 0 , 0 , 20.532 , 0.308 , 50 , 0.341 , 0 , 0 ,            10.28518     ,              8.252711     ,              0.8023887 , 0.4462917 , 9.511457E-02 , 0 , 0 ,          0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0028125, 27.996 , 1001.429 , 6.753 , 0 , 855.853 , 5.12 , 0 , 0 , 0 , 0 , 20.532 , 0.308 , 21.829 , 1.814 , 0 , 0 ,         10.28649     ,              8.253766     ,              0.8023887 , 0.5847053 , 0.4010327 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0042014, 27.89 , 1002.084 , 6.852 , 0 , 841.885 , 5.127 , 0 , 0 , 0 , 0 , 20.532 , 0.308 , 17.874 , 1.422 , 0 , 0 ,         10.29322     ,              8.259164     ,              0.8023886 , 0.698041 , 0.6408429 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0055903, 27.899 , 1001.307 , 6.849 , 0 , 852.247 , 5.122 , 0 , 0 , 0 , 0 , 20.532 , 0.308 , 48.522 , 1.52 , 0 , 0 ,         10.28524     ,              8.252761     ,              0.8023887 , 1.00571 , 0.8971801 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0069908, 28.01 , 1001.502 , 6.851 , 0 , 856.594 , 5.115 , 0 , 0 , 0 , 0 , 20.532 , 0.308 ,-3.331 , 1.484 , 0 , 0 ,          10.28724     ,              8.254368     ,              0.8023887 , 0.9845887 , 1.147446 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0083796, 27.814 , 1001.34 , 6.851 , 0 , 837.072 , 5.113 , 0 , 0 , 0 , 0 , 20.54 , 0.302 , 49.967 , 1.489 , 0 , 0 ,          10.05726     ,              8.092463     ,              0.8046386 , 1.30142 , 1.398555 , 0 , 0 ,  0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0097685, 28.015 , 1001.517 , 6.85 , 0 , 854.344 , 5.127 , 0 , 0 , 0 , 0 , 20.899 , 0 , 17.465 , 1.502 , 0 , 0 ,             3.390112E-02               ,              0            ,              0 , 1.412162 , 1.651857 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0111575, 27.873 , 1000.953 , 6.848 , 0 , 851.558 , 5.162 , 0 , 0 , 0 , 0 , 20.899 , 0 , 21.576 , 1.559 , 0 , 0 ,            3.388203E-02               ,              0            ,              0 , 1.548972 , 1.914771 , 0 , 0 ,         0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
00.0125463, 27.961 , 1001.387 , 6.848 , 0 , 842.629 , 5.295 , 0 , 0 , 0 , 0 , 20.899 , 0 , 30.387 , 1.557 , 0 , 0 ,            3.389672E-02               ,              0            ,              0 , 1.74165 , 2.177348 , 0 , 0 ,          0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.760
