Days,Temp        ,mVVM        ,pH          ,pO2         ,RPM         ,Scale1      ,Scale2      ,Scale3      ,NT          ,Unused      ,O2-out      ,CO2_out     ,Cool_heat   ,Acid_base   ,Unused      ,Unused      ,OUR,CER,RQ,Sum1,Sum2,Sum3,Sum4,MS-O2       ,MS-CO2      ,MS-N2       ,MS-Ar       ,MS-Eth      ,MS-Met      ,MS-Unused   ,MS-Unused   ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      ,Unused      , run
00.0027778, 23.055 , 501.302 , 4.16 , 0 , 860.048 , 5.932 , 0 , 0 , 0 , 0 , 20.394 , 0.3 , 50 , 5 , 0 , 0 ,      7.504169     ,              4.016999     ,              0.5353023 , 0.5846885 , 0.6547469 , 0 , 0 ,             0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0041667, 23.393 , 501.302 , 4.158 , 0 , 855.463 , 5.728 , 0 , 0 , 0 , 0 , 20.394 , 0.3 , 50 , 5 , 0 , 0 ,     7.504169     ,              4.016999     ,              0.5353023 , 1.169377 , 1.309494 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0055671, 23.734 , 501.302 , 4.157 , 0 , 854.442 , 5.653 , 0 , 0 , 0 , 0 , 20.394 , 0.3 , 49.978 , 5 , 0 , 0 ,               7.504169     ,              4.016999     ,              0.5353023 , 1.753808 , 1.964241 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.006956, 24.071 , 501.412 , 4.156 , 0 , 854.619 , 5.703 , 0 , 0 , 0 , 0 , 20.394 , 0.3 , 13.779 , 5 , 0 , 0 ,  7.505815     ,              4.01788      ,              0.5353023 , 1.914937 , 2.618988 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0083449, 24.406 , 501.465 , 4.157 , 0 , 855.403 , 5.733 , 0 , 0 , 0 , 0 , 20.394 , 0.3 ,-25 , 5 , 0 , 0 ,     7.506608     ,              4.018305     ,              0.5353023 , 1.622592 , 3.273735 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0097338, 24.643 , 501.643 , 4.158 , 0 , 854.429 , 5.662 , 0 , 0 , 0 , 0 , 20.394 , 0.3 ,-25 , 5 , 0 , 0 ,     7.509273     ,              4.019732     ,              0.5353023 , 1.330248 , 3.928481 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0111227, 24.782 , 502.186 , 4.158 , 0 , 843.742 , 5.656 , 0 , 0 , 0 , 0 , 20.394 , 0.3 ,-25 , 5 , 0 , 0 ,     7.517401     ,              4.024083     ,              0.5353023 , 1.037904 , 4.583228 , 0 , 0 ,               0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0125116, 24.857 , 502.221 , 4.157 , 0 , 842.941 , 5.654 , 0 , 0 , 0 , 0 , 20.394 , 0.3 ,-25 , 5 , 0 , 0 ,     7.517925     ,              4.024363     ,              0.5353023 , 0.7455597 , 5.237975 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0139005, 24.926 , 502.233 , 4.156 , 0 , 837.651 , 5.651 , 0 , 0 , 0 , 0 , 20.394 , 0.3 ,-25 , 5 , 0 , 0 ,     7.518105     ,              4.024459     ,              0.5353023 , 0.4532155 , 5.892722 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
00.0152894, 24.981 , 502.252 , 4.156 , 0 , 851.079 , 5.641 , 0 , 0 , 0 , 0 , 20.394 , 0.3 ,-25 , 5 , 0 , 0 ,     7.51839      ,              4.024611     ,              0.5353023 , 0.1608712 , 6.547469 , 0 , 0 ,              0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,           0 ,KLG-63.771
